ssyk2012_4,year,daioe_allapps,daioe_stratgames,daioe_videogames,daioe_imgrec,daioe_imgcompr,daioe_imggen,daioe_readcompr,daioe_lngmod,daioe_translat,daioe_speechrec,daioe_genai,pctl_rank_allapps,pctl_rank_stratgames,pctl_rank_videogames,pctl_rank_imgrec,pctl_rank_imgcompr,pctl_rank_imggen,pctl_rank_readcompr,pctl_rank_lngmod,pctl_rank_translat,pctl_rank_speechrec,pctl_rank_genai,ssyk2012_1,ssyk2012_2,ssyk2012_3
0110 Commissioned armed forces officers,2010,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2011,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2012,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2013,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2014,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2015,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2016,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2017,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2018,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2019,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2020,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2021,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2022,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0110 Commissioned armed forces officers,2023,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,01 Officers,011 Commissioned armed forces officers
0210 Non-commissioned armed forces officers,2010,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2011,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2012,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2013,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2014,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2015,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2016,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2017,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2018,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2019,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2020,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2021,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2022,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
0210 Non-commissioned armed forces officers,2023,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,02 Specialist Officers,021 Non-commissioned armed forces officers
"0310 Armed forces occupation, other ranks",2010,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2011,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2012,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2013,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2014,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2015,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2016,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2017,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2018,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2019,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2020,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2021,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2022,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
"0310 Armed forces occupation, other ranks",2023,,,,,,,,,,,,,,,,,,,,,,,0 Armed forces occupations,03 Soldiers,"031 Armed forces occupations, other ranks"
1111 Legislators,2010,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2011,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2012,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2013,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2014,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2015,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2016,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2017,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2018,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2019,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2020,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2021,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2022,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1111 Legislators,2023,,,,,,,,,,,,,,,,,,,,,,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2010,0.24246101081371307,0.07682633399963379,,0.023576557636260986,,,,,,0.0038094250485301018,,49.7599983215332,42.20000076293945,,42.90999984741211,,,,,,55.439998626708984,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2011,0.4060955047607422,0.1528853476047516,,0.028071247041225433,,,,,,0.0076188500970602036,,49.7599983215332,42.20000076293945,,42.90999984741211,,,,,,55.439998626708984,,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2012,0.6122449040412903,0.1652604341506958,,0.07217232882976532,,,,0.0005159919965080917,,0.019750971347093582,0.0005159919965080917,49.04999923706055,42.20000076293945,,42.90999984741211,,,,57.33000183105469,,55.439998626708984,57.33000183105469,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2013,2.70951509475708,0.17763550579547882,1.046422004699707,0.10234609991312027,,,,0.0014421187806874514,,0.03188309445977211,0.0014421187806874514,9.100000381469727,42.20000076293945,7.210000038146973,42.90999984741211,,,,57.33000183105469,,55.439998626708984,57.33000183105469,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2014,4.48583984375,0.19001057744026184,1.6692214012145996,0.13381986320018768,,,0.003182741114869714,0.012498700059950352,,0.04067609831690788,0.012498700059950352,9.34000015258789,42.20000076293945,7.210000038146973,42.90999984741211,,,59.93000030517578,57.33000183105469,,55.439998626708984,57.33000183105469,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
1112 Senior government officials,2015,8.017699241638184,0.2034948468208313,2.292020797729492,0.16925302147865295,,0.0266419630497694,0.005348252132534981,0.022632474079728127,0.0031492216512560844,0.21697182953357697,0.08212589472532272,15.010000228881836,42.20000076293945,7.210000038146973,42.90999984741211,,62.77000045776367,59.93000030517578,57.33000183105469,56.619998931884766,55.439998626708984,62.529998779296875,1 Managers,"11 Legislators, chief executives and senior government officials ",111 Legislators and senior officials
